,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
67,Dryopteris dilatata (Hoffm.) A. Gray,Lu,,Moreda,29TPH5421,,27-I-2003,ladera sombría con Castanea sativa en sustrato calizo,,,J.L. Camaño & I. Gómez,LOU 25444
68,Prunella vulgaris L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25445
69,Osmunda regalis L.,Po,Covelo,,29TNG5175,,11-VII-2003,"cuneta de carretera, al lado de una fuente",,,J.L. Camaño & I. Gómez,LOU 25446
70,Wahlenbergia hederacea (L.) Rchb.,Po,Covelo,,29TNG5175,,11-VII-2003,"talud en carretera, bajo Quercus robur",,,J.L. Camaño & I. Gómez,LOU 25447
71,Osmunda regalis L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25448
72,Eupatorium cannabinum L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25449
73,Hypericum androsaemum L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25450
74,Laurus nobilis L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25451
75,Illecebrum verticillatum L.,Po,Salvaterra de Miño,orillas del Río Miño,29TNG3959,,13-VII-2003,zona arenosa próxima al río,,,J.L. Camaño & I. Gómez,LOU 25452
76,Circaea lutetiana L. subsp. lutetiana,Po,Arbo,playa fluvial en el Río Deva,29TNG5863,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25453
77,Trifolium campestre Schreb.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,Ribera del río,,,J.L. Camaño & I. Gómez,LOU 25454
78,Anarrhinum duriminium (Brot.) Pers.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25455
79,Caltha palustris L.,Po,Forcarei,"Acibeiro, próximo al Monasterio",29TNH5718,,01-V-2003,"Terreno encharcado, con agua corriente",,,J.L. Camaño & I. Gómez,LOU 25456
80,Trifolium arvense L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25457
81,Euphorbia dulcis L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25458
82,Ajuga reptans L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25459
83,Phragmites australis (Cav.) Steud.,C,Catoira,desembocadura del río Tambre,29TNH2225,,03-V-2003,marisma,,,J.L. Camaño & I. Gómez,LOU 25460
84,Medicago arabica (L.) Huds.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25461
85,Linum bienne Mill.,C,Catoira,desembocadura del río Tambre,29TNH2225,,3-V-2003,zona herbácea próxima a la orilla del mar,,,J.L. Camaño & I. Gómez,LOU 25462
86,Trifolium campestre Schreb.,C,Catoira,desembocadura del río Ulla,29TNH2225,,03-V-2003,herbazal próximo a la orilla del mar,,,J.L. Camaño & I. Gómez,LOU 25463
87,Centranthus calcitrapae (L.) Dufr.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25464
88,Linum bienne Mill.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25465
89,Arenaria montana L.,Po,Cotobade,San Xusto,29TNH4007,,02-V-2003,bosque de ribera en el río Lérez,,,J.L. Camaño & I. Gómez,LOU 25466
90,Genista florida L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25467
91,Robinia pseudoacacia L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25468
92,Cyperus eragrostis Lam.,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,abundante,J.L. Camaño,LOU 25469
93,Solidago virgaurea L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25470
94,Wahlenbergia hederacea (L.) Rchb.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25471
95,Osmunda regalis L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25472
96,Scutellaria minor Huds.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25473
97,Galium murale (L.) All.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,"grietas de muro, lugar húmedo",,,J.L. Camaño & I. Gómez,LOU 25474
98,Adenocarpus complicatus (L.) J. Gay,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,abundante,J.L. Camaño,LOU 25475
99,Corylus avellana L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25476
100,Myosotis sp.,Po,A Lama,Xende,29TNG4792,,3-VIII-2003,sobre ligera capa muscinal en plena corriente de un riachuelo,,,J.L. Camaño & I. Gómez,LOU 25477
101,Ononis spinosa L.,Or,,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25478
102,Lysimachia vulgaris L.,Lu,Quiroga,Montefurado,29TPG4794,,26-VII-2003,orilla del río,,,J.L. Camaño & I. Gómez,LOU 25479
103,Juncus effusus L.,Or,,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25480
104,Scirpoides holoschoenus (L.) Soják,Lu,Quiroga,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25481
105,Centaurium erythraea Rafn,Or,Monforte,embarcadero del catamarán en el Río Sil,29TPH2500,,08-VI-2003,"cuneta de carretera, próximo al río",,,J.L. Camaño & I. Gómez,LOU 25484
106,Apium graveolens L.,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,Disperso,J.L. Camaño,LOU 25485
107,Veronica persica Poir.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25486
108,Cardamine pratensis L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25487
109,Caltha palustris L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25488
110,Vicia angustifolia L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25489
111,Filipendula ulmaria (L.) Maxim.,Lu,Baleira,"Quintá, próximo al Río Quintá",29TPH4172,,16-VIII-2003,en acequia,,,J.L. Camaño & I. Gómez,LOU 25490
112,Lychnis coronaria (L.) Desr.,Lu,Baleira,Sanguiñedo,29TPH4265,,16-VIII-2003,ambiente ruderalizado,,,J.L. Camaño & I. Gómez,LOU 25491
113,Hypericum undulatum Willd.,Or,Riós,Rubiós,29TPG4146,670.0,07-IX-2003,"prado húmedo, cerca de arroyo",,,J.L. Camaño & I. Gómez,LOU 25492
114,Artemisia absinthium L.,Lu,Pedrafita do Cebreiro,"Pedrafita do Cebreiro, área recreativa de Valdecabrita",29TPH6131,1170.0,17-VIII-2003,ambiente ruderal,,,J.L. Camaño & I. Gómez,LOU 25493
115,Geum urbanum L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25494
116,Laurus nobilis L.,Po,A Lama,Xende,29TNG4792,,3-VIII-1003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25495
117,Eryngium campestre L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25496
