scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,recordedBy,occurrenceID,basisOfRecord
Laurus nobilis L.,Po,Arbo,playa fluvial en el Río Deva,29TNGNG5843763515,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25451,PreservedSpecimen
Illecebrum verticillatum L.,Po,Salvaterra de Miño,orillas del Río Miño,29TNG3959,,13-VII-2003,zona arenosa próxima al río,,,J.L. Camaño & I. Gómez,LOU 25452,PreservedSpecimen
Circaea lutetiana L. subsp. lutetiana,Po,Arbo,playa fluvial en el Río Deva,29TNG5863,,13-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25453,PreservedSpecimen
Trifolium campestre Schreb.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,Ribera del río,,,J.L. Camaño & I. Gómez,LOU 25454,PreservedSpecimen
Anarrhinum duriminium (Brot.) Pers.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25455,PreservedSpecimen
Caltha palustris L.,Po,Forcarei,"Acibeiro, próximo al Monasterio",29TNH5718,,01-V-2003,"Terreno encharcado, con agua corriente",,,J.L. Camaño & I. Gómez,LOU 25456,PreservedSpecimen
Trifolium arvense L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25457,PreservedSpecimen
Euphorbia dulcis L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25458,PreservedSpecimen
Ajuga reptans L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25459,PreservedSpecimen
Phragmites australis (Cav.) Steud.,C,Catoira,desembocadura del río Tambre,29TNH2225,,03-V-2003,marisma,,,J.L. Camaño & I. Gómez,LOU 25460,PreservedSpecimen
Medicago arabica (L.) Huds.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25461,PreservedSpecimen
Linum bienne Mill.,C,Catoira,desembocadura del río Tambre,29TNH2225,,3-V-2003,zona herbácea próxima a la orilla del mar,,,J.L. Camaño & I. Gómez,LOU 25462,PreservedSpecimen
Trifolium campestre Schreb.,C,Catoira,desembocadura del río Ulla,29TNH2225,,03-V-2003,herbazal próximo a la orilla del mar,,,J.L. Camaño & I. Gómez,LOU 25463,PreservedSpecimen
Centranthus calcitrapae (L.) Dufr.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25464,PreservedSpecimen
Linum bienne Mill.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25465,PreservedSpecimen
Arenaria montana L.,Po,Cotobade,San Xusto,29TNH4007,,02-V-2003,bosque de ribera en el río Lérez,,,J.L. Camaño & I. Gómez,LOU 25466,PreservedSpecimen
Genista florida L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25467,PreservedSpecimen
Robinia pseudoacacia L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,01-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25468,PreservedSpecimen
Cyperus eragrostis Lam.,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,abundante,J.L. Camaño,LOU 25469,PreservedSpecimen
Solidago virgaurea L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25470,PreservedSpecimen
Wahlenbergia hederacea (L.) Rchb.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25471,PreservedSpecimen
Osmunda regalis L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25472,PreservedSpecimen
Scutellaria minor Huds.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25473,PreservedSpecimen
Galium murale (L.) All.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,"grietas de muro, lugar húmedo",,,J.L. Camaño & I. Gómez,LOU 25474,PreservedSpecimen
Adenocarpus complicatus (L.) J. Gay,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,abundante,J.L. Camaño,LOU 25475,PreservedSpecimen
Corylus avellana L.,Po,A Lama,Xende,29TNG4792,,03-VIII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25476,PreservedSpecimen
Myosotis sp.,Po,A Lama,Xende,29TNG4792,,3-VIII-2003,sobre ligera capa muscinal en plena corriente de un riachuelo,,,J.L. Camaño & I. Gómez,LOU 25477,PreservedSpecimen
Ononis spinosa L.,Or,,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25478,PreservedSpecimen
Lysimachia vulgaris L.,Lu,Quiroga,Montefurado,29TPG4794,,26-VII-2003,orilla del río,,,J.L. Camaño & I. Gómez,LOU 25479,PreservedSpecimen
Juncus effusus L.,Or,,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25480,PreservedSpecimen
Scirpoides holoschoenus (L.) Soják,Lu,Quiroga,Montefurado,29TPG4794,,26-VII-2003,próximo al río,,,J.L. Camaño & I. Gómez,LOU 25481,PreservedSpecimen
Centaurium erythraea Rafn,Or,Monforte,embarcadero del catamarán en el Río Sil,29TPH2500,,08-VI-2003,"cuneta de carretera, próximo al río",,,J.L. Camaño & I. Gómez,LOU 25484,PreservedSpecimen
Apium graveolens L.,Po,Mondariz,Mondariz,29TNG4676,,20-XI-2004,lindes de campos próximos al río,,Disperso,J.L. Camaño,LOU 25485,PreservedSpecimen
Veronica persica Poir.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25486,PreservedSpecimen
Cardamine pratensis L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25487,PreservedSpecimen
Caltha palustris L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25488,PreservedSpecimen
Vicia angustifolia L.,Po,Ribadavia,Castrelo de Miño,29TNG7282,,1-V-2003,ribera del río,,,J.L. Camaño & I. Gómez,LOU 25489,PreservedSpecimen
Filipendula ulmaria (L.) Maxim.,Lu,Baleira,"Quintá, próximo al Río Quintá",29TPH4172,,16-VIII-2003,en acequia,,,J.L. Camaño & I. Gómez,LOU 25490,PreservedSpecimen
Lychnis coronaria (L.) Desr.,Lu,Baleira,Sanguiñedo,29TPH4265,,16-VIII-2003,ambiente ruderalizado,,,J.L. Camaño & I. Gómez,LOU 25491,PreservedSpecimen
Hypericum undulatum Willd.,Or,Riós,Rubiós,29TPG4146,670,07-IX-2003,"prado húmedo, cerca de arroyo",,,J.L. Camaño & I. Gómez,LOU 25492,PreservedSpecimen
Artemisia absinthium L.,Lu,Pedrafita do Cebreiro,"Pedrafita do Cebreiro, área recreativa de Valdecabrita",29TPH6131,1170,17-VIII-2003,ambiente ruderal,,,J.L. Camaño & I. Gómez,LOU 25493,PreservedSpecimen
Geum urbanum L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25494,PreservedSpecimen
Laurus nobilis L.,Po,A Lama,Xende,29TNG4792,,3-VIII-1003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25495,PreservedSpecimen
Eryngium campestre L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25496,PreservedSpecimen
Foeniculum vulgare Mill.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,talud pedregoso,,,J.L. Camaño & I. Gómez,LOU 25497,PreservedSpecimen
Matthiola fruticulosa (L.) Maire,Or,Rubiá,"Vilardesilva, mirador sobre el Sil",29TPH7903,,26-VII-2003,grietas de roca caliza,,,J.L. Camaño & I. Gómez,LOU 25498,PreservedSpecimen
Cheilanthes acrostica (Balb.) Tod.,Or,Rubiá,"Vilardesilva, mirador sobre el Sil",29TPH7903,,26-VII-2003,grietas de roca caliza,,,J.L. Camaño & I. Gómez,LOU 25499,PreservedSpecimen
Tanacetum vulgare L.,Po,A Lama,Xende,29TNG2792,,03-VIII-2003,ambiente ruderal,,,J.L. Camaño & I. Gómez,LOU 25500,PreservedSpecimen
Erodium cicutarium (L.) L'Hér.,C,Rois,Urdilde,29TNH2242,,17-IV-2003,campos,,,J.L. Camaño & I. Gómez,LOU 25501,PreservedSpecimen
Valeriana dioica L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25502,PreservedSpecimen
Hypericum androsaemum L.,Or,Parada de Sil,Sacardebois,,,8-VI-2003,talud sombrío con terreno húmedo bajo Castanea sativa,,,J.L. Camaño & I. Gómez,LOU 25503,PreservedSpecimen
Phagnalon saxatile (L.) Cass.,Or,A Teixeira,Monasterio de San Paio,29TPG2794,,08-VI-2003,grietas en los muros del Monasterio,,,J.L. Camaño & I. Gómez,LOU 25504,PreservedSpecimen
Luzula lactea (Link) E. Mey.,Or,Nogueira de Ramuín,Monte Meda,29TPG1091,,08-VI-2003,"monte bajo, próximo a arrollo estacional",,,J.L. Camaño & I. Gómez,LOU 25505,PreservedSpecimen
Stellaria holostea L.,Or,Parada de Sil,Monte Meda,29TPG1791,,8-VI-2003,cuneta de pista forestal,,,J.L. Camaño & I. Gómez,LOU 25506,PreservedSpecimen
Orobanche foetida Poir.,Or,Teixeira,Lumeares,29TPG2594,,08-VI-2003,cuneta de carretera junto a Trifolium,,,J.L. Camaño & I. Gómez,LOU 25507,PreservedSpecimen
Polygonum persicaria L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25508,PreservedSpecimen
Saponaria officinalis L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25509,PreservedSpecimen
Circaea lutetiana L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25510,PreservedSpecimen
Phagnalon saxatile (L.) Cass.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,talud rocoso calizo,,,J.L. Camaño & I. Gómez,LOU 25511,PreservedSpecimen
Daphne gnidium L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25512,PreservedSpecimen
Salvia verbenaca L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25513,PreservedSpecimen
Melilotus albus Medik.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados,,,J.L. Camaño & I. Gómez,LOU 25514,PreservedSpecimen
