occurrenceID,dwc_references,identifier,title,author,imagedate,rightsholder,description,description_with_links,license
SANT:SANT:63175-A,http://www.usc.es/herbario?SANT_63175,http://193.144.34.193/imsrv/santimagethumb.php?id=3640,SANT 63175: Ranunculus nigrescens Freyn,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63175: Ranunculus nigrescens Freyn [Click reference links for details & high resolution images],SANT 63175: Ranunculus nigrescens Freyn <a href=http://www.usc.es/herbario?SANT_63175 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63178-A,http://www.usc.es/herbario?SANT_63178,http://193.144.34.193/imsrv/santimagethumb.php?id=3641,SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman [Click reference links for details & high resolution images],SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman <a href=http://www.usc.es/herbario?SANT_63178 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63178-A,http://www.usc.es/herbario?SANT_63178,http://193.144.34.193/imsrv/santimagethumb.php?id=3642,SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman [Click reference links for details & high resolution images],SANT 63178: Pulsatilla alpina (L.) Delarbre subsp. apiifolia (Scop.) Nyman <a href=http://www.usc.es/herbario?SANT_63178 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63179-A,http://www.usc.es/herbario?SANT_63179,http://193.144.34.193/imsrv/santimagethumb.php?id=3727,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,D.G.SanLeón,2010-12-23T20:00:00,D.G.SanLeón,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [Click reference links for details & high resolution images],SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. <a href=http://www.usc.es/herbario?SANT_63179 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63179-A,http://www.usc.es/herbario?SANT_63179,http://193.144.34.193/imsrv/santimagethumb.php?id=3728,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,D.G.SanLeón,2010-12-23T20:00:00,D.G.SanLeón,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [Click reference links for details & high resolution images],SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. <a href=http://www.usc.es/herbario?SANT_63179 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63179-A,http://www.usc.es/herbario?SANT_63179,http://193.144.34.193/imsrv/santimagethumb.php?id=3729,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,D.G.SanLeón,2010-12-23T20:00:00,D.G.SanLeón,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [Click reference links for details & high resolution images],SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. <a href=http://www.usc.es/herbario?SANT_63179 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63179-A,http://www.usc.es/herbario?SANT_63179,http://193.144.34.193/imsrv/santimagethumb.php?id=3730,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,D.G.SanLeón,2010-12-23T20:00:00,D.G.SanLeón,SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [Click reference links for details & high resolution images],SANT 63179: Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. <a href=http://www.usc.es/herbario?SANT_63179 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63180-A,http://www.usc.es/herbario?SANT_63180,http://193.144.34.193/imsrv/santimagethumb.php?id=3643,SANT 63180: Caltha palustris L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63180: Caltha palustris L. [Click reference links for details & high resolution images],SANT 63180: Caltha palustris L. <a href=http://www.usc.es/herbario?SANT_63180 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63180-A,http://www.usc.es/herbario?SANT_63180,http://193.144.34.193/imsrv/santimagethumb.php?id=3644,SANT 63180: Caltha palustris L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63180: Caltha palustris L. [Click reference links for details & high resolution images],SANT 63180: Caltha palustris L. <a href=http://www.usc.es/herbario?SANT_63180 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63187-A,http://www.usc.es/herbario?SANT_63187,http://193.144.34.193/imsrv/santimagethumb.php?id=3645,SANT 63187: Valeriana dioica L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63187: Valeriana dioica L. [Click reference links for details & high resolution images],SANT 63187: Valeriana dioica L. <a href=http://www.usc.es/herbario?SANT_63187 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
